company_name,request_url,request_company_url,location,tags,founding_date,founders,employee_range,urls,emails,phones,description_short,description
Heluss,https://e27.co/startup/heluss,https://heluss.com/,Singapore,Accounting,,,,"http://www.twitter.com/28125084,https://www.facebook.com/pg/Heluss-337617726726192,https://www.linkedin.com/company/28125084/",,,To redefine the insurance industry by monetizing premiums and creating liquidity within the policyholders community.,"Heluss disrupts the insurance industry by transforming how the policy works; by utilizing the blockchain technologies, smart contracts and AI in claims management, Heluss is taking insurance back to its roots… Serving the Community."
Edujobs,https://e27.co/startup/edujobs,https://edujobsindia.com/,India,,,,,,,,"Edujobs is the Best Online Portal of Jobs where teachers, Principal, Hods and School admin can grab their Dream, Jobs.",Edujobs is the portal where Teachers can get their correct call for there jobs. We are connected with Cinch Education where you will be assisted first on the call and given the brief introduction of the job. We provide jobs all over India and also In UAE in Dubai. We welcome the most desired candidate and the candidate who is willing to work as a teacher. We assist you with the great profile and best Salary. No Registration Fees.
Its Blockchain,https://e27.co/startup/its-blockchain,http://www.itsblockchain.com,India,,,,,"http://www.twitter.com/itsblockchain,https://www.facebook.com/itsblockchain/,https://www.linkedin.com/in/its-blockchain-1b861416a/",,,"We are a global Blockchain community to educate you about the technology, latest developments, investment tips, portfolio management & industry news.",
All Pro Concrete,https://e27.co/startup/all-pro-concrete,https://www.allproconcrete.com.au/,Australia,,,,,,,,"We are the reputed concrete contractors in Sunbury, Tullamarine, Craigieburn",
Fluenc,https://e27.co/startup/fluenc,http://fluenc.net/,India,,,,,"https://www.facebook.com/fluencbangalore/?ref=br_rs,https://in.linkedin.com/company/fluenc-bangalore",,,FluenC  is a Language training institute in Bangalore that offers premium Foreign language classes in Bangalore.,"Enrol for Foreign Language Courses in Koramangala, Bangalore which is best Foreign language classes in Bangalore. Fluenc provides immense opportunities to the enthusiasts who are willing to Learn French in Bangalore, with the help of handpicked well-trained faculties providing immersing learning experience along with Fun-Filled and effective process of learning assuring the passing of the certification exams."
Keepoffline,https://e27.co/startup/keepoffline,https://www.keepoffline.com/,United States of America,Entertainment,February 2018,,,"http://www.twitter.com/keepoffline_vid,https://www.facebook.com/keepoffline/",,,"Keepoffline.com is an online Video downloader platform which helps you to download your favorite video from different online social media platforms like Vimeo, Facebook, Dailymotion, Netflix etc.","Download your favorite video from different online social media platforms like Vimeo, , Facebook and Dailymotion. These are some of the top rated websites for sharing and getting access to different kind of video contents with millions of subscribers visiting these platforms on a daily basis. Although, these platforms are considered to be the finest, but one thing that turns off the user is the unavailability of download option for their videos. These platforms allows you to watch and share the video content as many times as you please but have no way through which you can download these videos. So everytime you want to watch or show your favorite video to someone, you have to waste your data time and again."
Perfect Home Defense,https://e27.co/startup/perfect-home-defense,https://perfecthomedefense.com/,United States of America,,,,,"http://www.twitter.com/PerfHomeDefense,https://www.facebook.com/PerfectHomeDefense/",,,"PHD is one of the pioneers in providing wireless smart home security systems in USA. With our advanced wireless technology, we ensure protection and security of your family, home & Business.",
Marketsandmarkets,https://e27.co/startup/marketsandmarkets,http://www.marketsandmarkets.com,India,,,,,,,,,
Data Entry India Outsource,https://e27.co/startup/data-entry-india-outsource,http://www.dataentryindiaoutsource.com/,India,B2B/Enterprise,January 2013,,,"http://www.twitter.com/DEIOutsource,https://www.facebook.com/DataEntryIndiaOutsource/,https://www.linkedin.com/company/data-entry-india-outsource/",,,Data Entry India Outsource is a pioneer at providing outsourcing services in India. DEIO provides BPO services across the globe at affordable prices.,Data Entry India Outsource has evolved to be a trusted name in business process outsourcing. We work as an extended arm of your business by providing state of the art technology and a well-balanced team of skilled professionals that are as serious about your business as much as you are!
Zangi,https://e27.co/startup/zangi,http://zangi.com,United States of America,Mobile,January 2013,,,"http://www.twitter.com/zangi_messenger,https://www.facebook.com/zangimessenger/,https://www.linkedin.com/company/zangi-livecom",,,Zangi provides a messenger platform on top of which you can create your own messenger. The variety of features are added to Zangi platform to build any type of communication solution.,"Zangi provides a messenger platform on top of which you can build your business solution. The variety of features are added to Zangi platform to build any type of communication and collaboration solution. High-quality features are provided to build secure, private and independent apps in a short period of time."
ImageCourt,https://e27.co/startup/imagecourt,http://imagecourt.com/,India,,,,,,,,ImageCourt is one stop shop for the best stock photos and vectors. All the images in our collection pass stringent quality control and authentication parameters.,
Chiiwii - Telemed,https://e27.co/startup/chiiwii-telemed,http://www.chiiwii.com,Thailand,Health/Medical,February 2017,"Piraya Tamrongterakul,Sakunee Niranvichaiya",,,,,"Chiiwii mobile app providing accessible health consultation for women in the most efficient way. You can make appointment to connect with your preferred specialist via VDO call, voice call, chat.",
Vanan HealthCare,https://e27.co/startup/vanan-healthcare,https://vananhealthcare.com/,United States of America,,,,,"http://www.twitter.com/vananhealthcare,https://www.facebook.com/Vanan-healthcare-123283115026028/,https://www.linkedin.com/pulse/what-roles-healthcare-planspolicies-patricia-sprouse/?trackingId=VuJ5YfdXilGWi1OU6juLTw%3D%3D",,,"Medical Billing Specialties for Physicians, Clinics, Group Practices","Let Vanan HealthCare handle your medical billing and coding. We possess an in-depth understanding of medical terminology. When you outsource to us, we scrutinize every diagnoses, condition, treatment, service, and procedure to maximize your reimbursements."
CodeIgniter Ggn,https://e27.co/startup/codeigniter-ggn,http://www.codeigniter.co.in/,United States of America,,,,,,,,"Codeigniter is a leading Codeigniter PHP Framework website development company based in Gurgaon, India. We are specialized in creating web applications and e-commerce applications.",
PetsChamp,https://e27.co/startup/petschamp,http://www.petchamp.com,Singapore,,,,,,,,PetsChamp was started to help narrow the gap between retail and online consumers in the pet industry by providing information about pets and pet related retail shop services to new and existing owners,
Global Career Counsellor,https://e27.co/startup/global-career-counsellor,https://www.globalcareercounsellor.com,India,,2015,,,"http://www.twitter.com/GCC_Certificate,https://www.facebook.com/globalcareercounselling/",,,India's premium online certification course for career counsellors and career advisors in the counselling industry. Get certified with the Global Career Counsellor Certification from UCLA Extension,The Global Career Counsellor Certification from UCLA Extension is an all-in-one guide to know about career counselling from techniques and trends to best practices.
Golden Moments,https://e27.co/startup/golden-moments,http://goldenmoments.sg/products,Singapore,,,,,,,,Golden Moments is the brainchild of 3 young Singaporeans who wishes to bring families closer through lovingly handcrafted Durian Delicacies.,WE'RE ABOUT INSPIRING GOLDEN FAMILY TIME
Samsung Refrigerator Service Center in Hyderabad,https://e27.co/startup/samsung-refrigerator-service-center-in-hyderabad,http://aktechnoservice.com/samsung-refrigerator-service-center-in-hyderabad/,India,,,,,,,,,
scsetc,https://e27.co/startup/scsetc,http://www.scsetc.com/,China,,,,,,,,Best Motorcycle Bluetooth Intercom & Interphone|Helmet Bluetooth Headset|Bluetooth Intercom|Motorcycle Interphone|Helmet Intercom|Scsetc,
escapex,https://e27.co/startup/escapex,https://www.escapex.com/,United States of America,,,,,"http://www.twitter.com/escapexofficial,https://www.facebook.com/escapexofficial,https://www.linkedin.com/company/escapex_official/",,,"In the ever changing world of social media, the only constant are the people at the end of the channel.","In the ever changing world of social media, the only constant are the people at the end of the channel."
miFon,https://e27.co/startup/mifon,https://www.mifon.mobi/,United States of America,,,,,"http://www.twitter.com/mifonm,https://www.facebook.com/mifonm,https://www.linkedin.com/company/mifon/MIFON is a venture, backed by a team of experienced professionals from the IT, Telecom & Consumer Industry. MIFON makes Smartphones Smarter, Safer & Unlosable.   There are over 1.8M MIFON enabled  smartphones with 500,000 active users. Users love MIFON because it helps them stay connected with their near & dear ones, find their misplaced phones & secure their phone’s private data, smartly, automatically & efficiently.   MIFON’s backend platform processes millions of data records to safeguard the users, using AI/ML techniques and this brings us to an interesting possibility to create analytics, process automation  & related platform services.   Apart from MIFON’s natural allies in the Smartphone ecosystem, MIFON has some interesting engagements to help citizens e-initiatives as well, to enable citizen care, medical assistance, farmer productivity & police force enablement.",,,"MIFON is a venture, backed by a team of experienced professionals from the IT, Telecom & Consumer Industry. MIFON makes Smartphones Smarter, Safer & Unlosable.","MIFON is a venture, backed by a team of experienced professionals from the IT, Telecom & Consumer Industry. MIFON makes Smartphones Smarter, Safer & Unlosable."
